                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.507,                 8.0937,                 4.0595,                0.20646,                0.05435,                0.01766,                0.00616,                 3.0184,                 6.2152,                 3.3998,              0.0033305,              0.0033305,              0.0033305
                      2,                 2.5111,                 5.0835,                 2.6997,                0.31294,                0.20751,                0.16421,                0.08035,                  2.134,                 3.7629,                 2.1508,              0.0066089,              0.0066089,              0.0066089
                      3,                 1.9927,                 3.5492,                 2.0224,                0.34866,                0.26693,                0.23791,                0.12654,                 1.8345,                  3.016,                 1.8038,              0.0098322,              0.0098322,              0.0098322
                      4,                 1.7661,                 2.8284,                 1.7547,                0.45801,                0.36638,                0.34153,                0.19041,                  1.631,                 2.5313,                 1.5912,              0.0097525,              0.0097525,              0.0097525
                      5,                 1.6083,                 2.3714,                 1.6021,                0.48103,                0.42395,                0.40663,                0.23657,                 1.4928,                 2.0362,                 1.4644,                0.00967,                0.00967,                0.00967
                      6,                 1.5112,                 2.1008,                 1.5051,                0.54033,                0.45127,                0.45838,                0.27482,                  1.416,                 1.8339,                 1.3878,              0.0095875,              0.0095875,              0.0095875
                      7,                 1.4343,                 1.9112,                 1.4376,                0.59675,                0.50569,                0.51715,                0.31702,                 1.3377,                 1.7211,                  1.322,               0.009505,               0.009505,               0.009505
                      8,                 1.3891,                 1.7807,                 1.3907,                0.61573,                 0.5092,                0.52801,                0.32407,                 1.3332,                 1.6407,                  1.309,              0.0094225,              0.0094225,              0.0094225
                      9,                 1.3516,                 1.6795,                 1.3597,                0.66072,                0.54491,                0.57322,                0.35617,                 1.2862,                 1.5103,                 1.2735,                0.00934,                0.00934,                0.00934
                     10,                 1.3202,                 1.5903,                 1.3286,                0.70146,                0.54785,                  0.598,                0.37933,                  1.255,                 1.4222,                 1.2441,              0.0092575,              0.0092575,              0.0092575
                     11,                  1.293,                 1.5309,                 1.3041,                0.71851,                0.55743,                0.61718,                 0.3899,                  1.234,                 1.3765,                 1.2283,               0.009175,               0.009175,               0.009175
                     12,                 1.2698,                 1.4676,                 1.2861,                0.72699,                0.59079,                0.63846,                0.40904,                 1.1966,                 1.2894,                  1.208,              0.0090925,              0.0090925,              0.0090925
                     13,                 1.2503,                 1.4247,                 1.2662,                0.73481,                0.60815,                0.65247,                0.42214,                 1.1909,                 1.2771,                 1.1989,                0.00901,                0.00901,                0.00901
                     14,                 1.2323,                 1.3714,                 1.2518,                0.75587,                0.60677,                 0.6664,                0.43478,                 1.1688,                 1.2182,                 1.1774,              0.0089275,              0.0089275,              0.0089275
                     15,                  1.213,                 1.3361,                 1.2394,                0.74147,                0.63077,                 0.6845,                0.44925,                 1.1514,                 1.1852,                 1.1655,               0.008845,               0.008845,               0.008845
                     16,                 1.1978,                 1.3022,                 1.2265,                0.77007,                0.64192,                0.70062,                0.46056,                 1.1361,                 1.1431,                 1.1593,              0.0087625,              0.0087625,              0.0087625
                     17,                 1.1834,                 1.2707,                 1.2178,                 0.7769,                0.65117,                0.71066,                0.46984,                 1.1233,                 1.1094,                 1.1496,                0.00868,                0.00868,                0.00868
                     18,                 1.1693,                 1.2405,                 1.2012,                0.79755,                0.65389,                0.72036,                0.48025,                 1.1045,                 1.0859,                  1.137,              0.0085975,              0.0085975,              0.0085975
                     19,                 1.1582,                 1.2127,                 1.1974,                0.78843,                 0.6646,                0.72291,                 0.4843,                 1.1014,                 1.0578,                 1.1345,               0.008515,               0.008515,               0.008515
                     20,                 1.1483,                 1.1859,                 1.1885,                0.80232,                0.67828,                0.73557,                0.49633,                 1.0919,                 1.0469,                  1.124,              0.0084325,              0.0084325,              0.0084325
                     21,                 1.1395,                 1.1697,                 1.1823,                0.80734,                0.67065,                0.73729,                0.49872,                 1.0851,                 1.0279,                   1.12,                0.00835,                0.00835,                0.00835
                     22,                  1.132,                 1.1491,                 1.1724,                0.81339,                 0.6819,                0.74641,                0.50775,                 1.0775,                 1.0118,                 1.1147,              0.0082675,              0.0082675,              0.0082675
                     23,                 1.1226,                 1.1284,                 1.1699,                0.80831,                0.69123,                0.75067,                0.51082,                 1.0642,                0.99318,                 1.1091,               0.008185,               0.008185,               0.008185
                     24,                 1.1144,                 1.1175,                  1.161,                0.81655,                0.69449,                0.75863,                0.51941,                 1.0612,                0.97831,                 1.1013,              0.0081025,              0.0081025,              0.0081025
                     25,                  1.103,                  1.096,                 1.1548,                0.81627,                0.70291,                0.76395,                0.52317,                 1.0543,                0.96033,                 1.0985,                0.00802,                0.00802,                0.00802
                     26,                 1.0989,                 1.0839,                 1.1515,                0.82906,                0.70134,                0.76523,                0.52764,                 1.0461,                0.95234,                 1.0943,              0.0079375,              0.0079375,              0.0079375
                     27,                 1.0908,                 1.0666,                 1.1465,                0.83163,                0.70044,                0.77125,                0.53188,                 1.0409,                0.93894,                 1.0906,               0.007855,               0.007855,               0.007855
                     28,                 1.0841,                  1.051,                 1.1396,                0.84528,                0.70883,                0.78062,                0.53737,                  1.034,                0.92661,                 1.0859,              0.0077725,              0.0077725,              0.0077725
                     29,                 1.0751,                 1.0379,                 1.1306,                0.82448,                0.72105,                0.78058,                0.54042,                 1.0294,                0.91296,                 1.0801,                0.00769,                0.00769,                0.00769
